{'loss': '2.176', 'grad_norm': '9.295', 'learning_rate': '4.5e-06', 'epoch': '0.05333'}
{'loss': '0.6236', 'grad_norm': '8.455', 'learning_rate': '1.781e-06', 'epoch': '2.928'}
{'loss': '0.6342', 'grad_norm': '4.037', 'learning_rate': '1.619e-06', 'epoch': '2.981'}
{'loss': '0.5328', 'grad_norm': '9.639', 'learning_rate': '1.464e-06', 'epoch': '3.032'}
{'loss': '0.4533', 'grad_norm': '6.204', 'learning_rate': '1.316e-06', 'epoch': '3.085'}
{'loss': '0.4405', 'grad_norm': '23.03', 'learning_rate': '1.174e-06', 'epoch': '3.139'}
{'loss': '0.4422', 'grad_norm': '3.916', 'learning_rate': '1.04e-06', 'epoch': '3.192'}
{'loss': '0.4281', 'grad_norm': '3.889', 'learning_rate': '9.125e-07', 'epoch': '3.245'}
{'loss': '0.425', 'grad_norm': '8.207', 'learning_rate': '7.927e-07', 'epoch': '3.299'}
{'loss': '0.4413', 'grad_norm': '4.192', 'learning_rate': '6.806e-07', 'epoch': '3.352'}
{'loss': '0.4401', 'grad_norm': '5.308', 'learning_rate': '5.766e-07', 'epoch': '3.405'}
{'loss': '0.4317', 'grad_norm': '6.481', 'learning_rate': '4.806e-07', 'epoch': '3.459'}
{'loss': '0.4212', 'grad_norm': '8.645', 'learning_rate': '3.93e-07', 'epoch': '3.512'}
{'loss': '0.4244', 'grad_norm': '4.585', 'learning_rate': '3.139e-07', 'epoch': '3.565'}
{'loss': '0.4306', 'grad_norm': '3.742', 'learning_rate': '2.434e-07', 'epoch': '3.619'}
{'loss': '0.4342', 'grad_norm': '4.857', 'learning_rate': '1.817e-07', 'epoch': '3.672'}
{'loss': '0.4299', 'grad_norm': '3.585', 'learning_rate': '1.288e-07', 'epoch': '3.725'}
{'loss': '0.4299', 'grad_norm': '3.276', 'learning_rate': '8.49e-08', 'epoch': '3.779'}
{'loss': '0.4393', 'grad_norm': '5.148', 'learning_rate': '5.006e-08', 'epoch': '3.832'}
{'loss': '0.4285', 'grad_norm': '7.93', 'learning_rate': '2.434e-08', 'epoch': '3.885'}
{'loss': '0.4163', 'grad_norm': '3.258', 'learning_rate': '7.78e-09', 'epoch': '3.939'}
{'loss': '0.4402', 'grad_norm': '6.772', 'learning_rate': '4.144e-10', 'epoch': '3.992'}
